@******comedy, 255679, $4500, Humor & Memes, 28/08/2019
@****rah, 22863, $101, Fashion & Style, 05/09/2019
@*******oninsta, 26171, $150, Fashion & Style, 12/09/2019
@****ubes, 37233, $1000, Humor & Memes, 04/09/2019
@**********s_rampage, 10155, $225, Cars & Bikes, 28/08/2019
@******hmikey, 9249, $150, Blog & Lifestyle, 28/08/2019
@*****wnia, 10617, $300, Fashion & Style, 12/09/2019
@*********ry.memes, 6215, $122, Humor & Memes, 28/08/2019
@**********ore.after, 1018598, $4000, Fashion & Style, 12/09/2019
@********lrythai, 8211, $110, Business & Brand, 28/08/2019
@********de.women, 506287, $2400, Fashion & Style, 08/09/2019
@*******ndoubii, 57226, $200, Fashion & Style, 28/08/2019
@*******agement, 43136, $550, Fashion & Style, 08/09/2019
@*****oving, 24798, $325, Fashion & Style, 08/09/2019
@********uencers, 14069, $225, Fashion & Style, 08/09/2019
@***********ormarketing, 12486, $175, Food & Nutrition, 27/08/2019
@*******melight, 11652, $150, Fashion & Style, 27/08/2019
@*******motion, 9705, $150, Food & Nutrition, 27/08/2019
@********preneur, 8839, $150, Fashion & Style, 27/08/2019
@*******lermgmt, 7679, $125, Blog & Lifestyle, 27/08/2019
@********terature, 6341, $125, Quotes & Text, 27/08/2019
@******land_, 5552, $175, Fashion & Style, 01/09/2019
@******.bikes, 311305, $6500, Cars & Bikes, 26/08/2019
@*****owasp, 117838, $1250, Tech & Computers, 26/08/2019
@******vache, 208857, $12500, Travel & Nature, 26/08/2019
@********extings, 5684, $210, Quotes & Text, 26/08/2019
@******houts, 69865, $357, Fashion & Style, 26/08/2019
@****ash, 46312, $250, Blog & Lifestyle, 26/08/2019
@*****luent, 30843, $4990, Art & Design, 26/08/2019
@********00.italy, 15419, $200, Fashion & Style, 06/09/2019
@*****ubzy, 5749, $100, Gaming & Entertainment, 26/08/2019
@******rowth, 7616, $125, Blog & Lifestyle, 26/08/2019
@****mgmt, 8284, $150, Pets & Animals, 26/08/2019
@********rketing, 5029, $100, Tech & Computers, 26/08/2019
@****town, 43825, $525, Fashion & Style, 26/08/2019
@******deista, 66541, $750, Fashion & Style, 26/08/2019
@****etsy, 17621, $175, Fashion & Style, 26/08/2019
@******perts, 42365, $525, Fashion & Style, 08/09/2019
@*********reetrade, 54950, $650, Fashion & Style, 08/09/2019
@******overs, 22203, $220, Fashion & Style, 26/08/2019
@******tales, 193784, $2200, Gaming & Entertainment, 26/08/2019
@********s_loverz, 100481, $900, Fashion & Style, 25/08/2019
@******atrol, 67817, $850, Fashion & Style, 25/08/2019
@*****maker, 19651, $225, Fashion & Style, 25/08/2019
@****cafe, 19963, $250, Fashion & Style, 25/08/2019
@*********anagement, 39367, $500, Fashion & Style, 25/08/2019
@*******curate, 45415, $575, Fashion & Style, 25/08/2019
@********.social, 37327, $475, Fashion & Style, 25/08/2019
@***********fastgrowth, 5002, $100, Travel & Nature, 25/08/2019
@********agement, 15871, $200, Fashion & Style, 25/08/2019
@*******e.leads, 10247, $175, Fashion & Style, 25/08/2019
@*********traveller, 102247, $2100, Travel & Nature, 25/08/2019
@*********mania_._, 20151, $150, Fashion & Style, 25/08/2019
@*****tavip, 204107, $1700, Fitness & Sports, 25/08/2019
